x,Curve1
-166.995,11.9935
-166.856,12.8142
-145.708,12.2055
-108.852,8.99152
-57.796,9.29729
-54.3094,9.80498
-51.3356,9.79659
-50.5374,9.49204
-50.4525,9.9912
-50.1469,9.28901
-50.0476,9.87277
-47.2076,9.07757
-46.2698,9.59367
-45.9296,9.09452
-45.7268,10.2874
-44.0411,10.2029
-43.4852,10.9728
-42.7962,10.0252
-40.812,9.19616
-40.2618,9.93222
-39.0414,9.61076
-39.0299,9.67844
-38.5833,9.80535
-30.0841,9.79709
-25.3771,9.98333
-20.7679,9.59427
-16.3651,10.4912
-13.0814,9.80595
-11.3194,10.1698
-10.1407,9.60298
-6.70737,9.79764
-5.34741,10.2968
-1.98168,10.0939
4.05074,10.5762
4.83608,10.1955
12.1652,10.8049
12.6902,8.89285
14.2716,10.6949
18.8132,9.90823
21.4626,10.492
23.9956,10.3906
31.2729,10.6953
39.0766,9.09652
42.4941,9.19812
44.3812,10.298
45.1134,9.60428
46.9142,10.1965
64.9863,8.99561
107.744,10.4941
108.084,9.99493
109.718,9.60579
111.313,8.98823
113.74,10.7649
115.418,10.6296
115.807,10.4181
115.894,10.9342
117.845,9.91055
120.801,9.79218
121.002,10.9766
125.528,10.0969
127.33,10.6976
127.738,10.5961
129.167,11.5013
129.49,10.9007
129.814,10.3085
130.354,10.9853
130.371,11.0868
131.171,10.7907
131.479,12.6012
135.147,11.6791
135.542,11.5015
137.172,11.087
138.346,10.4948
138.5,11.4
139.329,11.2732
139.721,11.0786
139.932,12.3222
140.115,10.9009
140.492,10.6133
141.866,11.1971
143.224,11.6878
143.234,11.747
144.6,12.28
146.474,10.7996
147.867,11.4933
148.649,11.0957
149.124,11.3918
150.555,12.3056
150.704,10.6812
153.306,10.9858
156.063,12.2042
156.742,11.1974
157.2,11.392
163.235,11.8913
169.68,12.2976
170.923,12.1115
172.213,12.1961
178.232,12.6023
